0	23,74,118
1	23,26,27
2	23,26,27
3	10,64,93
4	23,26,27
5	23,24,43
6	3,21,108
7	23,31,32
8	40,128,175
9	23,74,165
10	23,26,27
11	0,8,235
12	23,24,47
13	23,24,43
14	40,41,42
15	0,8,206
16	3,111,282
17	10,64,79
18	23,24,43
19	23,105
20	3,111,114
21	40,128,195
22	40,135,141
23	3,4
24	23,74,118
25	3,17,18
26	3,85,158
27	3,4,7
28	10,44,69
29	23,26,89
30	23,24,47
31	169,170,171
32	40,128,129
33	23,26,231
34	3,85,293
35	40,41,224
36	23,24,43
37	10,44,73
38	3,4,19
39	3,34,46
40	3,34,46
41	3,53,110
42	10,54
43	23,26,89
44	3,15,16
45	10,64,80
46	169,199,251
47	40,131,226
48	23,24,43
49	3,111,284
50	10,44,67
51	3,85,293
52	10,44,45
53	3,50
54	169,199,382
55	23,38,137
56	3,35,36
57	10,220,242
58	23,38,91
59	23,26,27
60	169,170,171
61	169,170,171
62	23,31,258
63	10,54
64	169,199,281
65	169,170,274
66	10,44,45
67	0,265,340
68	0,8
69	0,265,438
70	23,26,89
71	3,21,127
72	23,26,231
73	3,4,70
74	3,51,52
75	10,220,242
76	23,38,107
77	3,4,7
78	3,85,86
79	3,21,164
80	10,220,221
81	40,41,149
82	3,4,7
83	40,145,146
84	3,147,167
85	169,170,171
86	3,34,46
87	3,85,86
88	23,24,49
89	169,199,274
90	10,64,93
91	169,170,171
92	169,170,274
93	40,139,155
94	3,111,282
95	3,51,52
96	10,64,93
97	23,38,107
98	3,50
99	3,30
100	3,34,46
101	23,26,27
102	0,8,206
103	3,30
104	40,128,186
105	0,216,422
106	40,128,129
107	23,74,317
108	40,41,201
109	23,26,89
110	0,271
111	23,38,240
112	10,64,79
113	10,11,69
114	23,26,89
115	10,44,67
116	0,271,352
117	40,135,244
118	10,11,12
119	23,26,89
120	3,17,18
121	3,4,435
122	3,120,225
123	40,135,236
124	169,199,374
125	23,24,43
126	40,131,193
127	23,38,240
128	10,44,67
129	3,17,18
130	0,8,206
131	23,26,89
132	169,199,259
133	23,38
134	169,170,171
135	23,38,240
136	10,220,242
137	3,21
138	3,21,115
139	0,216
140	169,170,323
141	10,44,45
142	10,64,93
143	23,38,137
144	3,28
145	3,34,263
146	3,15,16
147	3,50
148	169,199,343
149	169,199,259
150	10,44,72
151	23,24,47
152	23,74,165
153	10,220,242
154	23,38,246
155	40,128,129
156	10,64,93
157	10,220,221
158	10,64,80
159	3,17,18
160	3,17,18
161	40,41,286
162	23,26,89
163	169,170,274
164	3,34,263
165	3,4,7
166	0,8,206
167	169,311,179
168	3,51,52
169	23,24,43
170	23,24,49
171	23,38,103
172	40,100
173	3,28,113
174	0,1,464
175	40,162,163
176	169,170,171
177	10,64,90
178	169,199,248
179	169,170,274
180	3,120,180
181	10,64,93
182	10,44,67
183	23,38,94
184	0,213,252
185	3,15,16
186	3,4,7
187	23,76
188	23,26,27
189	3,111,123
190	23,24,43
191	23,38,91
192	23,74,84
193	40,145,402
194	3,111,112
195	3,111,123
196	40,41,191
197	10,60,234
198	10,44,67
199	40,131,226
200	10,64,80
201	169,296,306
202	23,24,43
203	23,26,89
204	10,64,93
205	169,199,343
206	169,170,323
207	23,24,62
208	3,53
209	23,24,43
210	23,26,89
211	40,41,149
212	169,199,200
