0	1
0	16
0	18
0	20
0	31
0	33
0	46
0	50
0	68
0	70
0	75
0	78
0	85
0	90
0	92
0	105
0	115
0	134
0	148
0	157
0	167
0	185
0	205
0	214
0	225
0	230
0	232
0	273
0	280
0	291
1	2
1	67
1	127
1	131
1	172
1	182
1	249
3	4
3	9
3	80
3	101
3	161
3	163
3	208
3	227
4	5
4	23
4	44
4	66
4	241
6	7
6	11
6	25
6	38
6	48
6	52
6	58
6	82
6	119
6	128
6	150
6	159
6	195
6	212
6	235
6	267
7	8
7	61
7	110
7	145
7	264
7	282
9	10
9	203
9	259
11	12
11	37
11	111
11	121
11	140
11	187
11	190
11	244
13	14
13	55
13	143
13	188
13	237
14	15
14	24
14	104
14	108
14	117
14	138
14	139
14	176
16	17
16	22
16	84
16	107
16	147
18	19
18	40
18	45
18	54
18	72
18	112
18	136
18	137
18	177
18	178
18	184
18	198
18	211
18	217
18	220
18	247
18	253
18	269
18	288
20	21
20	30
20	35
20	36
20	60
20	65
20	74
20	98
20	103
20	109
20	113
20	122
20	123
20	126
20	170
20	219
20	229
20	245
20	246
20	252
20	257
20	258
20	272
20	278
20	285
20	294
20	297
25	26
25	218
27	28
28	29
31	32
33	34
33	77
33	114
33	199
33	204
33	256
33	262
33	265
38	39
38	57
38	201
38	271
41	42
41	87
41	94
41	124
41	141
41	191
42	43
42	89
42	96
42	183
42	254
46	47
46	73
46	200
46	239
46	287
48	49
50	51
50	97
50	173
52	53
55	56
55	155
55	169
55	242
55	248
55	266
58	59
58	118
62	63
62	99
63	64
68	69
68	197
70	71
75	76
75	132
75	250
75	290
78	79
80	81
80	194
82	83
85	86
85	130
85	202
85	263
85	276
87	88
87	166
87	234
87	261
90	91
92	93
94	95
99	100
99	156
99	179
101	102
105	106
115	116
115	146
115	174
119	120
124	125
124	133
128	129
128	260
128	283
134	135
134	165
134	175
134	180
134	224
134	277
134	279
134	284
141	142
141	181
141	210
141	275
143	144
148	149
148	171
150	151
150	270
152	153
153	154
157	158
159	160
161	162
161	293
163	164
163	193
167	168
167	207
185	186
188	189
191	192
191	251
195	196
205	206
205	255
205	286
208	209
212	213
214	215
214	216
214	240
214	289
214	295
221	222
222	223
225	226
227	228
230	231
230	243
232	233
235	236
235	296
237	238
267	268
273	274
280	281
291	292
